"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1401267,1694,0.00118,0,60,89405,0,1,1,0,0,0.1,0,0,1
1401273,19,0,0,3,271155,0,1,1,0,0,0.66667,0,0,1
1401276,357,0.0028,0,7,325533,0,1,1,0,0,0.28571,0,0,1
1401278,5428,0,0,3,10456857,0,1,1,0,0,0.33333,0,0,1
1401279,5428,0,0,3,10456857,0,1,1,0,0,0.33333,0,0,1
1401282,5428,0,0,42,162352,0,1,1,0,0,0.2619,0,0,1
1401290,124,0,0,0,,0,0,0,0,0,0,0,0,1
1401296,27,0,0,1,224500,0,1,1,0,0,1,0,0,1
1401298,46,0,0,1,48880,0,1,1,0,0,1,0,0,1
1401301,1732,0,0,153,211954,0,1,1,0,0,0.10458,0,0,1
1401302,2110,0,0,2,865318,0,1,1,0,0,0.5,0,0,1
1401304,23,0,0,1,135405,0,1,1,0,0,1,0,0,1
1401313,14,0,0,6,1224220,0,1,1,0,0,0.33333,0,0,1
1401315,716,0.00279,0,6,1512602,0,1,1,0,0,0.33333,0,0,1
1401318,2256,0,0,2,277750,0,1,1,0,0,0.5,0,0,1
1401319,85,0,0,1,585700,0,1,1,0,0,1,0,0,1
1401321,154,0,0,0,,0,0,0,0,0,0,0,0,1
1401322,34,0,0,7,153300,0,1,1,0,0,0.14286,0,0,1
1401324,1922,0,0,113,36887,0,1,1,0,0,0.06195,0,0,1
1401327,57,0,0,18,113527,0,1,1,0,0,0.11111,0,0,1
1401335,1017,0,0,16,320740,0,1,1,0,0,0.0625,0,0,1
1401338,1168,0,0,21,216778,0,1,0.2381,0,0,0.14286,0,0,1
1401342,1213,0.00082,0,6,193500,0,1,1,0,0,0.16667,0,0,1
1401344,2236,0,0,12,662595,0,1,1,0,0,0.16667,0,0,1
1401350,60,0,0,1,145000,0,1,1,0,0,1,0,0,1
1401353,12,0,0,559,102044,0,1,0.98032,0,0,0.07335,0,0,1
1401358,1771,0,0,2,4467750,0,1,1,0,0,0.5,0,0,1
1401359,1017,0,0,1,1794250,0,1,1,0,0,1,0,0,1
1401361,673,0,0,5,145900,0,1,1,0,0,0.4,0,0,1
1401364,2398,0,0,559,102044,0,1,0.98032,0,0,0.10912,0,1,1
1401365,1970,0,0,1,174003,0,1,1,0,0,1,0,0,1
1401367,2398,0,0,16,137356,0,1,1,0,0,0.125,0,0,1
1401370,2398,0,0,16,297417,0,1,1,0,0,0.125,0,0,1
1401373,2398,0,0,16,137356,0,1,1,0,0,0.0625,0,0,1
1401376,54,0,0,2,354282,0,1,1,0,0,0.5,0,0,1
1401384,22,0,0,1,499000,0,1,1,0,0,1,0,0,1
1401385,93,0,0,43,455408,0,1,1,0,0,0.48837,0,0,1
1401399,158,0,0,1,387112,0,1,1,0,0,1,0,0,1
1401401,158,0,0,1,373737,0,1,1,0,0,1,0,0,1
1401402,2157,0,0,3,187676,0,1,1,0,0,0.33333,0,0,1
1401404,41,0,0,10,432459,0,1,1,0,0,0.4,0,0,1
1401413,27,0,0,10,113931,0,1,1,0,0,0.2,0,0,1
1401421,1694,0.00118,0,97,110757,0,1,1,0,0,0.05155,0,0,1
1401424,288,0,0,20,3383400,0,1,1,0,0,0.05,0,0,1
1401425,109,0,0,42,277663,0,1,1,0,0,0.11905,0,0,1
1401427,166,0,0,1,290000,0,1,1,0,0,1,0,0,1
1401428,2110,0,0,6,799691,0,1,1,0,0,0.33333,0,0,1
1401430,2110,0,0,3,600830,0,1,1,0,0,0.33333,0,0,1
1401433,673,0,0,46,178944,0,1,1,0,0,0.13043,0,0,1
1401436,109,0,0,2,277013,0,1,1,0,0,0.5,0,0,1
1401439,5428,0,0,1,39825,0,1,1,0,0,1,0,0,1
1401442,309,0,0,2,160115,0,1,1,0,0,1,0,0,1
1401444,716,0.00279,0,4,612275,0,1,1,0,0,0.25,0,0,1
1401447,716,0.00279,0,6,1339993,0,1,1,0,0,0.16667,0,0,1
1401448,1101,0,0,2,122808,0,1,1,0,0,0.5,0,0,1
1401450,1101,0,0,1,66734,0,1,1,0,0,1,0,0,1
1401453,57,0,0,6,526496,0,1,1,0,0,0.16667,0,0,1
1401459,1732,0,0,2,1042626,0,1,1,0,0,0.5,0,0,1
1401461,2236,0,0,34,1404947,0,1,1,0,0,0.02941,0,0,1
1401462,14,0,0,10,432459,0,1,1,0,0,0.4,0,0,1
1401465,61,0,0,22,109508,0,1,1,0,0,0.27273,0,0,1
1401467,12,0,0,10,432459,0,1,1,0,0,0.7,0,0,1
1401468,90,0,0,1,269000,0,1,1,0,0,1,0,0,1
1401473,17,0,0,4,250427,0,1,1,0,0,0.5,0,0,1
1401476,2157,0,0,9,458833,0,1,1,0,0,0.33333,0,0,1
1401479,2256,0,0,123,174574,0,1,1,0,0,0.12195,0,0,1
1401482,92,0.01087,0,7,153300,0,1,1,0,0,0.42857,0,0,1
1401485,6,0,0,69,1027251,0,1,1,0,0,0.04348,0,0,1
1401487,581,0,0,1,61384,0,1,1,0,0,1,0,0,1
1401488,47,0,0,90,429148,0,1,1,0,0,0.02222,0,0,1
1401490,29,0,0,5,160660,0,1,1,0,0,0.4,0,0,1
1401493,215,0,0,1,601300,0,1,1,0,0,1,0,1,1
1401496,2256,0,0,86,102503,0,1,1,0,0,0.09302,0,0,1
1401504,5428,0,0,90,184197,0,1,1,0,0,0.07778,0,0,1
1401507,158,0,0,6,525855,0,1,1,0,0,0.83333,0,0,1
1401508,2236,0,0,34,1404947,0,1,1,0,0,0.23529,0,0,1
1401510,158,0,0,3,1918742,0,1,1,0,0,0.66667,0,0,1
1401511,2236,0,0,2,461119,0,1,1,0,0,0.5,0,0,1
1401513,2236,0,0,1,2305083,0,1,1,0,0,1,0,0,1
1401516,158,0,0,3,1918742,0,1,1,0,0,0.66667,0,0,1
1401519,6408,0,0,40,831063,0,1,1,0,0,0.1,0,0,1
1401522,1694,0.00118,0,123,174574,0,1,1,0,0,0.04878,0,0,1
1401524,203,0.00493,0,4,1296618,0,1,1,0,0,0.25,0,0,1
1401525,1694,0.00118,0,17,152917,0,1,1,0,0,0.35294,0,0,1
1401530,716,0.00279,0,30,191102,0,1,1,0,0,0.06667,0,0,1
1401531,6408,0,0,3,555000,0,1,1,0,0,0.33333,0,0,1
1401533,716,0.00279,0,30,191102,0,1,1,0,0,0.16667,0,0,1
1401536,716,0.00279,0,30,191102,0,1,1,0,0,0.3,0,0,1
1401542,30,0,0,8,152625,0,1,1,0,0,0.375,0,0,1
1401544,109,0,0,5,622728,0,1,1,0,0,0.4,0,0,1
1401545,109,0,0,5,622728,0,1,1,0,0,0.2,0,0,1
1401547,42,0,0,1,128900,0,1,1,0,0,1,0,0,1
1401548,61,0,0,1,1044370,0,1,1,0,0,1,0,0,1
1401550,2157,0,0,35,355762,0,1,0.97143,0,0,0.14286,0,0,1
1401551,2157,0,0,1,109424,0,1,1,0,0,1,0,0,1
1401553,1732,0,0,25,965091,0,1,1,0,0,0.04,0,0,1
1401559,107,0,0,9,81372,0,1,1,0,0,0.55556,0,0,1
1401562,648,0,0,209,317740,0,1,1,0,0,0.15311,0,0,1
1401564,38,0,0,5,294023,0,1,1,0,0,0.4,0,0,1
1401565,630,0.00317,0,4,198450,0,1,1,0,0,0.25,0,0,1
1401567,630,0.00317,0,11,194585,0,1,1,0,0,0.18182,0,0,1
1401570,21,0,0,1,917209,0,1,1,0,0,1,0,0,1
1401573,673,0,0,20,232652,0,1,1,0,0,0.15,0,0,1
1401576,41,0,0,21,225608,0,1,1,0,0,0.14286,0,0,1
1401579,1970,0,0,102,298524,0,1,0.71569,0,0,0.06863,0,0,1
1401582,93,0,0,1,383500,0,1,1,0,0,1,0,0,1
1401585,673,0,0,2,411923,0,1,1,0,0,0.5,0,0,1
1401587,1970,0,0,49,501530,0,1,1,0,0,0.08163,0,0,1
1401590,19,0,0,4,135775,0,1,1,0,0,0.25,0,0,1
1401591,2,0,0,17,693377,0,1,1,0,0,0.23529,0,0,1
1401594,400,0,0,1,82230,0,1,1,0,0,1,0,0,1
1401596,642,0,0,1,2245200,0,1,1,0,0,1,0,0,1
1401599,61,0,0,4,1059031,0,1,1,0,0,0.25,0,0,1
1401602,673,0,0,8,150426,0,1,1,0,0,0.5,0,0,1
1401605,1200,0,0,6,136680,0,1,1,0,0,0.33333,0,0,1
1401607,59,0,0,19,304576,0,1,1,0,0,0.15789,0,0,1
1401608,1970,0,0,47,689134,0,1,1,0,0,0.14894,0,0,1
1401611,138,0,0,0,,0,0,0,0,0,0,0,0,1
1401613,2110,0,0,42,145466,0,1,1,0,0,0.19048,0,0,1
1401616,1639,0,0,9,547721,0,1,1,0,0,0.22222,0,0,1
1401619,1211,0,0,12,56489,0,1,1,0,0,0.16667,0,0,1
1401625,6408,0,0,15,222161,0,1,1,0,0,0.2,0,0,1
1401627,6408,0,0,62,596030,0,1,1,0,0,0.17742,0,1,1
1401628,6408,0,0,1,416150,0,1,1,0,0,1,0,1,1
1401630,6408,0,0,114,297733,0,1,0.98246,0,0,0.13158,0,0,1
1401631,176,0,0,7,712595,0,1,1,0,0,0.42857,0,0,1
1401633,770,0,0,1,384650,0,1,1,0,0,1,0,0,1
1401636,118,0,0,6,135466,0,1,1,0,0,0.33333,0,0,1
1401642,35,0,0,3,355733,0,1,1,0,0,0.33333,0,0,1
1401650,770,0,0,2,436250,0,1,1,0,0,0.5,0,0,1
1401651,940,0,0,49,501530,0,1,1,0,0,0.20408,0,0,1
1401654,53,0,0,4,3801801,0,1,1,0,0,0.25,0,0,1
1401656,33,0,0,3,195583,0,1,1,0,0,0.33333,0,0,1
1401657,996,0,0,7,148513,0,1,1,0,0,0.14286,0,1,1
