"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1543132,613,0,0,32,151454,0,0.9375,0.9375,0,0,0.09375,1,0,0
1570790,93,0,0,53,123848,0,1,0.03774,0,0,0.09434,0,0,0
1523449,60,0,0,1,345168,0,1,1,0,0,1,0,0,0
1495841,753,0.00133,0,1,68400,0,1,1,0,0,1,0,1,0
1512459,306,0,0,4,329020,0,1,1,0,0,0.25,0,1,0
1486979,1200,0,0,118,37701,0,0.98305,0.92373,0,0,0.12712,0,1,0
1531538,46,0,0,77,136523,0,1,0.03896,0,0,0.09091,0,0,0
1589808,159,0,0,33,57384,0,1,0.36364,0,0,0.06061,0,0,0
1461999,8,0,0,3,268666,0,1,1,0,0,0.33333,0,0,0
1513485,179,0.00559,0,2,150330,0,1,1,0,0,0.5,0,0,0
1498152,1213,0.00082,0,3,41683,0,1,0.66667,0,0,0.33333,0,0,0
1526367,357,0.0028,0,3,168733,0,1,1,0,0,0.33333,0,0,0
1534697,572,0,0,11,219105,0,1,0.09091,0,0,0.18182,0,0,0
1414693,2643,0,0,291,196459,0,1,1,0,0,0.08247,0,0,0
1538794,19,0,0,39,65796,0,1,1,0,0,0.15385,1,0,0
1548492,662,0,0,1,102160,0,1,1,0,0,1,0,0,0
1463975,5428,0,0,94,85491,0,0.98936,0.98936,0,0,0.12766,0,0,0
1508587,2256,0,0,2,302440,0,1,1,0,0,0.5,0,0,0
1542568,1732,0,0,253,186068,0,1,1,0,0,0.08696,1,0,0
1574754,43,0,0,83,594118,0,1,1,0,0,0.0241,0,0,0
1449462,1258,0,0.00079,1,211600,0,1,1,0,0,1,0,0,0
1539607,11,0,0,253,186068,0,1,1,0,0,0.14229,1,0,0
1504857,309,0,0,23,164772,0,1,0.04348,0,0,0.13043,0,0,0
1486751,30,0,0,52,212898,0,1,1,0,0,0.15385,0,0,0
1552789,2398,0,0,92,169200,0,1,0.1413,0,0,0.08696,0,0,0
1565058,1922,0,0,75,351430,0,1,0.02667,0,0,0.10667,0,0,0
1466063,57,0,0,1,1912896,0,1,1,0,0,1,0,0,0
1490237,796,0.00126,0,1,290800,0,1,1,0,0,1,0,0,0
1531538,46,0,0,77,136523,0,1,0.06494,0,0,0.09091,0,0,0
1455816,34,0,0,19,255927,0,1,1,0,0,0.15789,0,1,0
1565447,1258,0,0.00079,836,310365,0,0.99043,0.0012,0,0,0.09689,0,0,0
1503065,581,0,0,125,572028,0,1,1,0,0,0.064,0,0,0
1500656,662,0,0,1,141969,0,1,1,0,0,1,0,0,0
1462025,61,0,0,1,234240,0,1,1,0,0,1,0,0,0
1403218,135,0,0,29,176635,0,1,1,0,0,0.17241,0,1,0
1462747,452,0,0,1,328200,0,1,1,0,0,1,0,0,0
1503620,569,0,0,22,164086,0,0.95455,0.68182,0,0,0.18182,0,0,0
1520033,2256,0,0,712,146609,0,0.99719,0.97331,0,0,0.0632,0,1,0
1437148,1771,0,0,38,257944,0,1,1,0,0,0.18421,0,0,0
1590075,159,0,0,85,166644,0,1,0.11765,0,0,0.03529,0,0,0
1603376,67,0,0,4,211479,0,1,0.25,0,0,0.5,0,0,0
1547433,357,0,0,32,159681,0,1,0.46875,0,0,0.1875,1,0,0
1590477,27,0,0,62,237787,0,0.98387,0.03226,0,0,0.04839,0,0,0
1570514,306,0,0,17,120036,0,1,0.05882,0,0,0.17647,0,1,0
1557554,1771,0,0,8,159242,0,1,0.125,0,0,0.5,0,0,0
1516510,360,0.00556,0,1,489537,0,1,1,0,0,1,0,0,0
1468027,1200,0,0,12,40559,0,1,1,0,0,0.16667,0,0,0
1575605,27,0,0,1,89474,0,1,1,0,0,1,0,0,0
1492539,2643,0,0,27,419685,0,1,1,0,0,0.14815,0,0,0
1478836,120,0.00833,0,30,1041383,0,1,1,0,0,0.2,0,0,0
1480368,201,0,0,2,198375,0,1,1,0,0,1,0,0,0
1488901,2256,0,0,3,104183,0,1,1,0,0,0.66667,0,0,0
1487760,90,0,0,32,1057710,0,1,1,0,0,0.78125,0,0,0
1523760,52,0,0,4,703907,0,1,1,0,0,0.5,0,0,0
1514672,115,0,0,6,327281,0,1,0.33333,0,0,0.33333,0,0,0
1523001,741,0,0,20,205704,0,1,0.85,0,0,0.05,0,0,0
1567948,357,0.0028,0,198,484364,0,1,0.0303,0,0,0.12121,0,0,0
1485520,71,0,0,12,158441,0,1,1,0,0,0.16667,0,0,0
1519368,308,0,0,58,392783,0,1,0.96552,0,0,0.05172,0,0,0
1465929,561,0,0,123,103592,0,1,1,0,0,0.12195,0,0,0
1513606,773,0,0,4,65958,0,1,0.25,0,0,0.25,0,0,0
1582859,27,0,0,18,277622,0,1,0.05556,0,0,0.11111,0,0,0
1542433,212,0,0,10,57048,0,1,1,0,0,0.3,1,0,0
1550680,116,0,0,77,136523,0,1,0.37662,0,0,0.14286,0,0,0
1455143,2236,0,0,1,600000,0,1,1,0,0,1,0,0,0
1568721,1694,0.00118,0,9,152081,0,1,0.44444,0,0,0.22222,0,0,0
1564020,247,0,0,86,259397,0,0.98837,0.02326,0,0,0.12791,0,0,0
1492033,940,0,0,253,186068,0,1,1,0,0,0.07115,0,0,0
1531538,46,0,0,77,136523,0,1,0.06494,0,0,0.09091,0,0,0
1469626,56,0,0,2,466500,0,1,1,0,0,1,0,0,0
1491532,2697,0,0,78,486516,0,1,1,0,0,0.03846,0,0,0
1558324,2256,0,0,625,259955,0,0.9648,0.008,0,0,0.0496,0,0,0
