,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
201,1605129,189,0.0,0,15,279496.0,0,1.0,0.2,0,0,0.13333,0,-1,13,2,1,0,403965.68,401975.0,192021325,7,1,20170808,20171231,1
202,1605402,2236,0.0,0,7,245476.0,0,1.0,0.14286,0,0,0.14286,3,1,13,5,0,0,483228.19,578716.66,325030110,3,1,20170807,20171125,1
203,1605405,2236,0.0,0,1,59432.0,0,1.0,0.0,0,0,1.0,1,-1,8,5,0,0,59596.07,84533.6,263022000,19,1,20170808,20171211,1
208,1605717,2236,0.0,0,1,18353.0,0,1.0,1.0,0,0,0.0,3,1,13,5,0,0,895282.9,1105287.6,264020122,10,1,20170811,20171211,1
209,1605742,588,0.0,0,3,72178.0,0,1.0,1.0,0,0,0.66667,3,-1,13,4,0,0,72341.08,94421.81,108913111,1,1,20170810,20171231,1
211,1606218,2236,0.0,0,7,245476.0,0,1.0,0.85714,0,0,0.0,3,1,13,5,0,0,99299.97,99299.97,309220000,12,1,20170818,20171125,1
212,1606522,2236,0.0,0,5,3205243.0,0,1.0,0.2,0,0,0.2,3,-1,63,5,0,0,1149288.69,1149288.69,325022110,20,1,20170821,20171125,1
213,1606523,2236,0.0,0,5,3205243.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,137989.99,137989.99,325022125,20,1,20170821,20171125,1
214,1607549,59,0.0,0,6,684862.0,0,1.0,0.0,0,0,0.0,3,-1,13,1,0,0,203400.2,203400.2,192021343,7,1,20170831,20171231,1
215,1607549,59,0.0,0,6,684862.0,0,1.0,0.0,0,0,0.0,3,-1,13,1,0,0,203400.2,203400.2,192021344,7,1,20170831,20171231,1
216,1608162,2236,0.0,0,1,2208911.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,471656.74,471656.74,325022122,20,1,20170905,20171130,1
217,1608162,2236,0.0,0,1,2208911.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,471656.74,471656.74,325022123,20,1,20170905,20171130,1
218,1608162,2236,0.0,0,1,2208911.0,0,1.0,0.0,0,0,0.0,3,-1,63,5,0,0,471656.74,471656.74,325022124,20,1,20170905,20171130,1
221,1609486,2236,0.0,0,1,2208911.0,0,1.0,1.0,0,0,0.0,3,-1,63,5,0,0,860933.33,860933.33,325022110,20,1,20170919,20171211,1
222,1610014,360,0.00556,0,2,195000.0,0,1.0,1.0,0,0,0.0,3,-1,13,2,0,0,193000.0,200000.0,452011000,12,1,20170926,20171231,1
0,486107,149,0.0,0,3,703106.0,0,1.0,1.0,0,0,0.0,0,-1,45,11,0,0,422675.0,565000.0,0,19,1,20150203,20150616,1
1,488047,616,0.0,0,6,645612.0,0,1.0,1.0,0,0,0.0,0,-1,45,41,0,0,2418075.0,2931000.0,0,19,1,20150210,20150210,1
2,489153,149,0.0,0,13,117161.0,0,1.0,0.07692,0,0,0.0,0,-1,49,11,0,1,7200.0,43200.0,0,19,1,20150218,20150331,1
5,493055,447,0.0,0,67,101750.0,0,1.0,0.35821,0,0,0.22388000000000002,0,-1,13,41,0,1,80229.33,138733.67,0,19,1,20150313,20150331,1
11,653973,746,0.0,0,5,126307.0,0,1.0,0.0,0,0,0.2,3,-1,48,11,0,0,70084.8,70084.8,611030190,28,1,20160126,20160331,1
12,653974,746,0.0,0,1,50000.0,0,1.0,0.0,0,0,1.0,3,-1,48,11,0,0,50020.2,50020.2,611030190,28,1,20160126,20160331,1
13,660245,987,0.0,0,5,226388.0,0,1.0,0.2,0,0,0.0,3,-1,63,41,0,0,4000000.0,4000000.0,531012000,28,1,20160224,20160401,1
14,660246,987,0.0,0,67,101750.0,0,1.0,0.04478,0,0,0.0,0,-1,13,41,0,0,2993737.23,3813678.0,172314110,24,1,20160224,20160930,1
15,661150,338,0.0,0,10,1069668.0,0,1.0,0.1,0,0,0.1,3,-1,13,41,0,0,92400.59,103241.0,192021125,7,1,20160229,20160630,1
16,662450,24,0.0,0,2,101680.0,0,1.0,0.5,0,0,0.0,1,-1,8,41,0,0,142352.0,142352.0,493939000,28,1,20160309,20160930,1
18,663557,338,0.0,0,2,1952181.0,0,1.0,0.0,0,0,0.0,3,1,13,41,0,1,30000.0,52599.0,331218000,28,1,20160322,20161231,1
19,663564,370,0.0,0,10,102317.0,0,1.0,0.8,0,0,0.1,0,-1,13,11,0,0,15000.0,15000.0,951110000,28,1,20160314,20160331,1
20,664565,987,0.0,0,9,773666.0,0,1.0,0.11110999999999999,0,0,0.11110999999999999,0,-1,13,41,0,0,87194.55,103189.0,452011000,28,1,20160325,20160414,1
22,801071,24,0.0,0,1,142352.0,0,1.0,1.0,0,0,0.0,1,-1,8,41,0,0,203360.0,203360.0,493939000,28,1,20170301,20171231,1
31,847944,553,0.0018100000000000002,0,40,235168.0,0,1.0,0.575,0,0,0.275,0,-1,13,12,0,0,82060.68,82060.68,531011000,28,1,20171121,20180720,1
32,856313,307,0.0,0,3,63140.0,0,1.0,0.66667,0,0,0.33333,1,-1,8,14,0,0,97500.0,105070.0,171214119,24,1,20171218,20171228,1
33,863761,140,0.0,0,3,193914.0,0,1.0,0.33333,0,0,0.33333,0,-1,13,12,0,0,443916.0,448848.0,432212120,4,1,20171229,20181231,1
34,865402,140,0.0,0,5,113913.0,0,1.0,0.0,0,0,0.2,0,-1,13,12,0,0,269000.0,299232.0,331218000,28,1,20171229,20181231,1
