,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
553,494484,746,0.0,0.0,585,277517,0.0,1.0,0.01709,0,0.0,0.006840000000000001,0,-1,48,11,0,0,4411043.11,4411043.11,0,19,1,20150330,20151231,1
554,494485,1387,0.00072,0.0,1,194902,0.0,1.0,1.0,0,0.0,1.0,3,-1,60,11,0,1,194902.01,480450.0,0,19,1,20150331,20150414,1
555,494486,1387,0.00072,0.0,1,94775,0.0,1.0,1.0,0,0.0,1.0,3,3,110,11,0,0,94775.0,149500.0,0,19,1,20150331,20150414,1
556,494488,53,0.0,0.0,1,395340,0.0,1.0,1.0,0,0.0,1.0,0,-1,13,14,0,0,395340.0,0.0,0,19,1,20150330,20151231,1
557,494489,41,0.0,0.0,1,102200,0.0,1.0,1.0,0,0.0,1.0,3,-1,13,14,0,0,102200.0,123300.0,0,19,1,20150327,20150401,1
558,494495,123,0.0,0.0,1,253000,0.0,1.0,1.0,0,0.0,1.0,1,-1,8,11,0,0,253000.0,300000.0,0,19,1,20150330,20150630,1
559,494496,186,0.0,0.0,1,121959,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,11,0,1,121959.45,250120.5,0,19,1,20150330,20150529,1
560,494497,55,0.0,0.0,1,233444,0.0,1.0,1.0,0,0.0,1.0,1,-1,8,14,0,1,233444.03,399051.39,0,19,1,20150330,20150429,1
561,494796,109,0.0,0.0,5,429595,0.0,1.0,1.0,0,0.0,0.6,0,-1,45,41,0,0,447003.75,449250.0,0,19,1,20150330,20151231,1
562,494802,518,0.0,0.0,8,616159,0.0,1.0,0.25,0,0.0,0.25,3,-1,8,12,0,0,297000.0,300000.0,0,19,1,20150331,20151231,1
563,494803,518,0.0,0.0,1,1193000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,12,0,0,1193000.0,1272533.33,0,19,1,20150331,20160409,1
564,494805,232,0.0,0.0,1,48380,0.0,1.0,1.0,0,0.0,1.0,0,-1,13,14,0,0,48380.0,53336.0,0,19,1,20150401,20150417,1
565,494806,232,0.0,0.0,4,146667,0.0,1.0,1.0,0,0.0,0.25,0,-1,45,14,0,0,291000.0,291000.0,0,19,1,20150401,20151215,1
566,494808,813,0.0,0.0,1,15340,0.0,1.0,1.0,0,0.0,1.0,3,-1,8,41,0,0,15340.97,15340.97,0,19,1,20150401,20150430,1
567,494809,813,0.0,0.0,1,15340,0.0,1.0,1.0,0,0.0,1.0,3,-1,8,41,0,0,15340.97,15340.97,0,19,1,20150401,20150430,1
568,494810,813,0.0,0.0,3,46022,0.0,1.0,0.66667,0,0.0,0.33333,3,-1,8,41,0,0,15340.97,15340.97,0,19,1,20150401,20150430,1
569,494811,813,0.0,0.0,3,40909,0.0,1.0,0.66667,0,0.0,0.33333,3,-1,8,41,0,0,15340.97,15340.97,0,19,1,20150401,20150430,1
570,494818,753,0.0,0.0,1,966222,0.0,1.0,1.0,0,0.0,1.0,3,-1,48,41,0,0,966222.0,1153764.0,0,19,1,20150330,20150730,1
571,494825,616,0.0,0.0,8,350577,0.0,1.0,1.0,0,0.0,0.375,1,-1,8,41,0,0,501879.56,549800.0,0,19,1,20150330,20150415,1
572,494826,1147,0.0,0.0,2,2311938,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,14,1,0,4278166.2,3889242.0,0,19,1,20150330,20151231,1
573,494827,1147,0.0,0.0,23,1491753,0.0,1.0,0.26087,0,0.0,0.26087,3,-1,88,14,0,0,3315115.8,3333636.0,0,19,1,20150330,20151231,1
574,494828,1147,0.0,0.0,10,995112,0.0,1.0,0.3,0,0.0,0.1,3,-1,49,14,0,0,379915.2,379915.2,0,19,1,20150330,20151231,1
575,494829,1147,0.0,0.0,1,332425,0.0,1.0,1.0,0,0.0,1.0,3,-1,106,14,0,0,332425.8,332425.8,0,19,1,20150330,20151231,1
