,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,supType,orgForm,price_higher_pmp,price_too_low,price,pmp,okpd,cntr_result
3950,1544281,27,0.0,0.0,25,169309.0,0.0,1.0,1.0,0,0.0,0.12,3,45,0,0,114584.2,115160.0,0,0
5529,1588654,572,0.0,0.0,33,57384.0,0.0,1.0,0.0303,0,0.0,0.09091,3,13,0,0,33465.04,52134.1,101314731,0
3761,1455597,5428,0.0,0.0,30,961782.0,0.0,1.0,1.0,0,0.0,0.06667000000000001,3,7,0,0,4319460.0,4319460.0,0,1
4656,1395433,996,0.0,0.0,10,227025.0,0.0,1.0,1.0,0,0.0,0.3,3,13,0,0,442228.0,443292.0,0,1
2904,1393371,26,0.0,0.0,24,186408.0,0.0,1.0,1.0,0,0.0,0.29167,3,13,0,0,127260.0,159138.0,0,1
4013,1406433,203,0.0049299999999999995,0.0,4,398175.0,0.0,1.0,1.0,0,0.0,0.25,3,13,0,0,365000.0,461872.0,0,1
5824,1430824,5428,0.0,0.0,90,132106.0,0.0,1.0,0.9888899999999999,0,0.0,0.21111,3,13,0,0,128080.0,139166.7,0,1
2498,1580075,5428,0.0,0.0,1,80000.0,0.0,1.0,0.0,0,0.0,0.0,3,13,0,0,240900.0,265740.0,620920190,1
4075,1393429,201,0.0,0.0,66,253836.0,0.0,1.0,1.0,0,0.0,0.01515,3,13,0,0,1500000.0,1500000.0,0,1
926,1469784,33,0.0,0.0,2,235000.0,0.0,1.0,1.0,0,0.0,0.5,3,0,0,0,120000.0,173700.0,0,0
244,1444400,67,0.0,0.0,47,82287.0,0.0,1.0,1.0,0,0.0,0.12766,3,13,0,0,128550.0,143743.0,0,0
15,1395069,49,0.0,0.0,3,419114.0,0.0,1.0,1.0,0,0.0,0.33333,3,13,0,0,331195.0,0.0,0,0
143,1434758,2643,0.0,0.0,142,136177.0,0.0,1.0,1.0,0,0.0,0.07746,1,0,0,0,142830.0,155430.0,0,0
57,1389488,13,0.0,0.0,61,410296.0,0.0,1.0,1.0,0,0.0,0.19672,1,0,0,0,68900.0,0.0,0,1
2363,1508862,773,0.0,0.0,92,169200.0,0.0,1.0,0.1413,0,0.0,0.08696,3,0,0,0,350000.0,350000.0,869019110,0
2817,1424448,752,0.0,0.0,34,479801.0,0.0,1.0,1.0,0,0.0,0.20588,3,13,0,0,247000.0,247000.0,0,1
129,1432122,1677,0.0,0.0,153,211954.0,0.0,1.0,1.0,0,0.0,0.0719,3,13,0,0,329150.0,499794.8,0,0
1161,1479192,2157,0.0,0.0,2,153900.0,0.0,1.0,1.0,0,0.0,0.5,3,0,0,1,246000.0,492000.0,0,0
3751,1428488,796,0.00126,0.0,30,961782.0,0.0,1.0,1.0,0,0.0,0.2,3,7,0,0,488460.0,488499.2,0,1
5750,1402710,2697,0.0,0.0,3,58700.0,0.0,1.0,1.0,0,0.0,0.33333,3,13,0,0,109000.0,109975.0,0,1
1457,1421527,48,0.0,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.061860000000000005,3,13,0,0,31980.0,40172.0,0,1
728,1389563,13,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.14841,3,7,0,0,327425.0,0.0,0,1
3527,1411819,28,0.0,0.0,13,102786.0,0.0,1.0,1.0,0,0.0,0.07692,3,8,0,0,67340.0,68807.1,0,1
1257,1443073,333,0.0,0.0,209,317740.0,0.0,1.0,1.0,0,0.0,0.08612,3,13,0,0,66890.0,68990.16,0,1
5458,1582859,27,0.0,0.0,18,277622.0,0.0,1.0,0.055560000000000005,0,0.0,0.11110999999999999,3,13,0,0,939127.55,953429.0,103912000,0
5010,1396845,365,0.0,0.0,16,14192.0,0.0,1.0,1.0,0,0.0,0.125,3,13,0,0,5700.0,6000.0,0,1
5308,1574354,95,0.0,0.0,2,4452947.0,0.0,1.0,0.5,0,0.0,0.5,3,48,0,0,39895.58,0.0,351110112,0
1876,1494094,23,0.0,0.0,253,186068.0,0.0,1.0,1.0,0,0.0,0.08696,3,0,0,0,40457.31,40457.31,0,0
2488,1512594,682,0.0,0.0,73,325170.0,0.0,1.0,0.94521,0,0.0,0.10959,2,8,0,0,62914.48,63232.8,0,0
5813,1412587,1258,0.0,0.00079,90,132106.0,0.0,1.0,0.9888899999999999,0,0.0,0.12222000000000001,3,13,0,0,32017.49,34187.98,0,1
4479,1558262,124,0.0,0.0,104,193100.0,0.0,1.0,0.04808,0,0.0,0.10577,0,0,0,0,138530.71,139226.85,106121000,0
1182,1479826,1677,0.0,0.0,118,337041.0,0.0,1.0,1.0,0,0.0,0.07627,1,0,0,0,498765.0,499695.6,0,0
2525,1513606,773,0.0,0.0,4,65958.0,0.0,1.0,0.25,0,0.0,0.25,0,0,0,0,27500.0,35500.0,0,0
4628,1453849,773,0.0,0.0,20,388537.0,0.0,1.0,1.0,0,0.0,0.15,3,13,0,0,184620.0,249415.75,0,1
1170,1479320,123,0.0,0.0,1,200000.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,200000.0,258371.0,0,0
4420,1414041,2643,0.0,0.0,22,107706.0,0.0,1.0,1.0,0,0.0,0.18182,3,9,0,0,29476.87,29625.0,0,1
2182,1502079,2398,0.0,0.0,3,26496.0,0.0,1.0,1.0,0,0.0,0.33333,3,0,0,0,7718.55,10090.5,0,0
5452,1466905,275,0.0,0.0,53,1763850.0,0.0,1.0,1.0,0,0.0,0.11320999999999999,3,31,0,0,1704187.86,1704187.86,0,1
566,1413818,48,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.14841,3,7,0,0,499695.0,499695.0,0,1
2821,1428244,5428,0.0,0.0,34,479801.0,0.0,1.0,1.0,0,0.0,0.029410000000000002,3,13,0,0,11396.0,11438.0,0,1
1391,1390895,544,0.0,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.19588,3,13,0,0,100800.0,142380.0,0,1
3371,1532864,1639,0.0,0.0,4,2566978.0,0.0,1.0,0.25,0,0.0,0.25,3,0,0,0,8400000.0,8400000.0,531012000,0
4576,1395066,96,0.0,0.0,2,780850.0,0.0,1.0,1.0,0,0.0,0.5,3,3,0,0,1067000.0,1067000.0,0,1
1859,1493741,176,0.0,0.0,30,156542.0,0.0,1.0,1.0,0,0.0,0.26666999999999996,0,0,0,0,94075.2,98955.36,0,0
1000,1392149,5428,0.0,0.0,105,123589.0,0.0,1.0,1.0,0,0.0,0.08571000000000001,3,13,0,0,303810.0,373200.0,0,1
3888,1464330,35,0.0,0.0,17,931929.0,0.0,1.0,1.0,0,0.0,0.11765,3,5,0,0,220000.0,220000.0,0,1
1641,1451051,1639,0.0,0.0,7,988939.0,0.0,1.0,1.0,0,0.0,0.42857,3,13,0,0,242580.0,268663.2,0,1
1878,1494165,24,0.0,0.0,3,630563.0,0.0,1.0,1.0,0,0.0,0.33333,1,0,0,0,1148430.0,1158430.0,0,0
1005,1394848,2398,0.0,0.0,105,123589.0,0.0,1.0,1.0,0,0.0,0.0381,3,13,0,0,17900.0,18166.33,0,1
3588,1537947,2256,0.0,0.0,5,134663.0,0.0,1.0,1.0,0,0.0,0.2,3,0,0,0,454400.0,0.0,0,0
2094,1389519,53,0.0,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.25882,1,0,0,0,150280.0,0.0,0,1
3121,1527765,2256,0.0,0.0,92,169200.0,0.0,1.0,0.6087,0,0.0,0.08696,3,0,0,0,99863.5,99863.5,0,0
387,1452515,44,0.0,0.0,6,195398.0,0.0,1.0,1.0,0,0.0,0.16667,3,8,0,0,421560.0,456093.7,0,0
1311,1483872,24,0.0,0.0,134,188855.0,0.0,1.0,1.0,0,0.0,0.26119000000000003,1,0,0,0,176850.0,263941.0,0,0
1032,1474305,64,0.0,0.0,1,490461.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,490461.06,490466.38,0,0
3611,1399748,752,0.0,0.0,7,1126589.0,0.0,1.0,1.0,0,0.0,0.14286,1,0,0,0,91345.0,91345.0,0,1
2906,1413778,940,0.0,0.0,24,186408.0,0.0,1.0,1.0,0,0.0,0.29167,3,13,0,0,129825.0,163995.0,0,1
456,1425765,8,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.14664000000000002,3,7,0,0,114048.0,114048.0,0,1
1610,1454312,2398,0.0,0.0,17,174561.0,0.0,1.0,1.0,0,0.0,0.7058800000000001,3,13,0,0,118500.0,129320.0,0,1
1399,1434319,59,0.0,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.18213,3,13,0,0,156260.0,213225.4,0,1
4936,1566026,987,0.0,0.0,1,187000.0,0.0,1.0,1.0,0,0.0,1.0,3,13,0,0,187000.0,245871.69,236512150,0
931,1469906,561,0.0,0.0,123,103592.0,0.0,1.0,1.0,0,0.0,0.06504,3,13,0,0,206038.0,207185.0,0,0
1130,1403693,1922,0.0,0.0,209,317740.0,0.0,1.0,1.0,0,0.0,0.01435,3,13,0,0,2241878.92,2253144.64,0,1
4019,1546437,2236,0.0,0.0,80,2142558.0,0.0,1.0,0.925,0,0.0,0.075,3,0,0,0,134432.95,134432.95,0,0
691,1462276,478,0.0,0.0,4,109976.0,0.0,1.0,1.0,0,0.0,0.5,3,0,0,0,188818.5,188818.5,0,0
4503,1394870,741,0.0,0.0,9,339730.0,0.0,1.0,1.0,0,0.0,0.11110999999999999,3,13,0,0,170140.0,170140.0,0,1
61,1391002,21,0.0,0.0,61,410296.0,0.0,1.0,1.0,0,0.0,0.016390000000000002,1,0,0,0,22600.0,24721.25,0,1
438,1402734,10,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.18550999999999998,3,7,0,0,218600.0,218600.0,0,1
1909,1495291,413,0.00242,0.0,1,3735070.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,3735070.0,4318000.0,0,0
829,1466196,365,0.0,0.0,17,103952.0,0.0,1.0,1.0,0,0.0,0.11765,3,0,0,0,140062.5,224100.0,0,0
3498,1535912,41,0.0,0.0,2,119000.0,0.0,1.0,1.0,0,0.0,0.5,3,0,0,0,183000.0,0.0,0,0
2081,1499225,179,0.0055899999999999995,0.0,8,187349.0,0.0,1.0,1.0,0,0.0,0.125,1,0,0,0,259193.0,260496.0,0,0
4681,1395606,5428,0.0,0.0,1,1576150.0,0.0,1.0,1.0,0,0.0,1.0,1,0,0,0,1576150.0,0.0,0,1
5329,1398582,13,0.0,0.0,7,231471.0,0.0,1.0,1.0,0,0.0,0.14286,3,19,0,0,269500.0,269500.0,0,1
44,1410525,21,0.0,0.0,13,1208617.0,0.0,1.0,1.0,0,0.0,0.15385,3,13,0,0,1700000.0,1700000.0,0,0
