"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","supType","orgForm","price_higher_pmp","price_too_low","price","pmp","okpd","cntr_result"
1525524,1258,0,0.00079,2,200850,0,1,1,0,0,0.5,0,0,0,0,55000.00,56605.78,"0",0
1525536,770,0,0,1,220000,0,1,1,0,0,1,3,45,0,0,220000.00,269776.00,"0",0
1525649,3,0,0,19,143661,0,1,1,0,0,0.15789,3,0,0,0,125370.00,126000.00,"0",0
1525662,2643,0,0,5,55281,0,1,1,0,0,0.4,0,0,0,1,24315.05,60099.00,"0",0
1525748,876,0,0,43,1125887,0,1,0.23256,0,0,0.09302,0,0,0,0,90945.00,102265.00,"0",0
1525783,306,0,0,2,8324,0,1,1,0,0,0.5,3,66,0,0,6819.28,8216.00,"0",0
1525784,306,0,0,141,250317,0,1,0.87234,0,0,0.00709,0,0,0,1,6246.23,11567.36,"0",0
1525785,306,0,0,126,172281,0,1,0.8254,0,0,0.00794,2,8,0,1,2684.00,4798.92,"0",0
1525818,1213,0.00082,0,17,274618,0,1,0.88235,0,0,0.17647,3,0,0,0,303636.00,345069.61,"0",0
1526034,365,0,0,182,635875,0,1,0.01648,0,0,0.08791,3,66,0,1,11732.50,19834.70,"212010231",0
1526034,365,0,0,182,635875,0,1,0.01099,0,0,0.08791,3,66,0,1,11732.50,19834.70,"212010239",0
1526065,13,0,0,18,1115853,0,1,1,0,0,0.16667,0,45,0,0,3298833.94,3298833.94,"0",0
1526082,1200,0,0,376,242121,0,1,0.83777,0,0,0.06915,0,0,0,0,85800.00,89000.00,"0",0
1526111,19,0,0,25,304252,0,1,1,0,0,0.2,0,45,0,0,688599.52,791495.00,"0",0
1526113,19,0,0,3,328713,0,1,1,0,0,0.66667,3,45,0,0,399512.95,527210.00,"0",0
1526114,19,0,0,3,328713,0,1,1,0,0,0.66667,3,45,0,0,465681.00,674900.00,"0",0
1526116,572,0,0,12,351641,0,1,0.75,0,0,0.41667,2,8,0,0,362775.00,364595.00,"0",0
1526139,5428,0,0,64,100776,0,1,0.71875,0,0,0.14063,2,8,0,0,165288.00,165288.00,"0",0
1526143,1771,0,0,98,192095,0,1,0.38776,0,0,0.08163,0,0,0,1,43776.00,74200.20,"0",0
1526144,2398,0,0,92,169200,0,1,0.6087,0,0,0.02174,3,0,0,0,13795.00,13795.00,"0",0
1526155,1677,0,0,100,264800,0,1,0.31,0,0,0.15,0,0,0,0,109750.62,113145.00,"0",0
1526239,306,0,0,126,172281,0,1,0.8254,0,0,0.03175,2,8,0,0,10225.00,10380.91,"0",0
1526259,178,0.00562,0,1,180504,0,1,1,0,0,1,0,0,0,0,180504.33,180504.33,"0",0
1526273,32,0,0,12,1487099,0,1,0.41667,0,0,0.33333,3,0,0,0,1640000.00,1640000.00,"0",0
1526367,357,0.0028,0,3,168733,0,1,1,0,0,0.33333,2,8,0,0,49900.80,58006.33,"0",0
1526426,744,0,0,31,296228,0,1,0.87097,0,0,0.09677,0,0,0,0,53000.00,53170.01,"0",0
1526434,2256,0,0,376,242121,0,1,0.83777,0,0,0.03457,0,0,0,0,3915.42,3935.10,"0",0
1526438,24,0,0,11,840208,0,1,0.54545,0,0,0.27273,0,0,0,0,533147.01,541266.00,"0",0
1526500,41,0,0,26,154021,0,1,0.92308,0,0,0.03846,0,0,0,0,63174.84,94291.20,"0",0
1526501,41,0,0,26,154021,0,1,0.92308,0,0,0.11538,0,0,0,0,78480.00,108249.20,"0",0
1526564,871,0,0,263,116077,0,1,0.56654,0,0,0.10646,2,8,0,0,160898.00,161706.84,"0",0
1526652,876,0,0,19,207251,0,1,0.42105,0,0,0.15789,0,0,0,0,359372.34,415932.00,"0",0
1526697,1213,0.00082,0,4,213187,0,1,0.75,0,0,0.5,0,0,0,0,252428.40,322675.13,"0",0
1526698,1213,0.00082,0,2,246400,0,1,1,0,0,0.5,3,0,0,0,198800.00,258140.11,"0",0
1526713,2398,0,0,1,100274,0,1,1,0,0,1,0,0,0,0,100274.50,100274.50,"0",0
1526718,2110,0,0,6,107026,0,1,1,0,0,0.33333,3,0,0,1,45645.60,250020.00,"0",0
1526771,357,0.0028,0,2,2518405,0,1,1,0,0,0.5,3,0,0,0,1755081.00,1755081.00,"0",0
1526793,653,0,0,1,101750,0,1,1,0,0,1,3,45,0,0,101750.00,101750.00,"0",0
1526804,1200,0,0,45,335537,0,1,0.82222,0,0,0.11111,0,0,0,0,63360.00,91872.00,"0",0
1526808,176,0,0,44,163963,0,1,0.90909,0,0,0.13636,0,0,0,0,291868.02,432395.00,"0",0
1526866,581,0,0,1,100000,0,1,1,0,0,1,3,45,0,0,100000.00,100000.00,"0",0
1526933,10,0,0,25,304252,0,1,1,0,0,0.16,0,45,0,0,596727.38,599726.01,"0",0
1526954,1639,0,0,6,352919,0,1,1,0,0,0.33333,2,8,0,0,309000.00,311284.50,"0",0
1526957,753,0.00133,0,1,630000,0,1,1,0,0,1,3,0,0,0,630000.00,630000.00,"0",0
1527066,2643,0,0,11,400654,0,1,0.63636,0,0,0.18182,2,8,0,0,100000.00,100000.00,"0",0
1527188,1922,0,0,21,695477,0,1,0.52381,0,0,0.42857,3,0,0,0,430842.00,498326.55,"0",0
1527190,89,0,0,3,351000,0,1,0.33333,0,0,0.66667,0,0,0,0,400000.00,400000.00,"631119000",0
1527201,1661,0,0,182,635875,0,1,0.95604,0,0,0.02747,3,66,0,0,499695.62,499695.62,"0",0
1527250,5428,0,0,10,755599,0,1,0.9,0,0,0.4,3,0,0,1,491055.36,992000.00,"0",0
1527255,1213,0.00082,0,126,172281,0,1,0.8254,0,0,0.06349,2,8,0,0,23000.00,27880.00,"0",0
1527309,28,0,0,2,920841,0,1,0.5,0,0,0.5,0,0,0,0,1770388.22,1770388.22,"439111000",0
1527326,40,0,0,1,2705230,0,1,1,0,0,1,0,45,0,0,2705230.05,3279066.60,"0",0
1527339,509,0,0,2,33600000,0,1,1,0,0,0.5,0,0,0,0,48480000.00,48480000.00,"412030000",0
1527340,509,0,0,2,33600000,0,1,1,0,0,0.5,0,0,0,0,18720000.00,18720000.00,"412030000",0
1527355,572,0,0,63,140697,0,1,0.93651,0,0,0.19048,3,0,0,0,44798.40,73440.00,"0",0
1527364,30,0,0,35,2198603,0,1,0.94286,0,0,0.05714,3,0,0,0,6251699.50,6251699.50,"0",0
1527367,20,0,0,1,605163,0,1,1,0,0,1,3,45,0,0,605163.84,704987.00,"0",0
1527419,744,0,0,262,302990,0,1,1,0,0,0.08779,3,0,0,1,37196.30,65835.00,"0",0
1527452,82,0,0,4,2962812,0,1,1,0,0,0.5,3,48,0,0,4741050.00,5790000.00,"0",0
1527560,166,0,0,97,138548,0,1,0.65979,0,0,0.06186,0,0,0,0,4826.40,5399.00,"0",0
1527710,52,0,0,21,167512,0,1,1,0,0,0.09524,3,45,0,0,185564.50,226200.00,"0",0
1527711,85,0,0,1,39334,0,1,1,0,0,1,3,45,0,0,39334.00,39334.00,"0",0
1527743,1771,0,0,7,704619,0,1,1,0,0,0.14286,3,0,0,0,480480.00,498716.40,"0",0
1527759,314,0,0,1,91798,0,1,1,0,0,1,3,13,0,0,91798.56,131144.00,"014721000",0
1527765,2256,0,0,92,169200,0,1,0.6087,0,0,0.08696,3,0,0,0,99863.50,99863.50,"0",0
1527790,192,0.00521,0,1,450000,0,1,1,0,0,1,3,45,0,0,450000.00,534655.64,"0",0
1527810,413,0.00242,0,5,48950,0,1,1,0,0,0.4,0,49,0,0,21240.00,21960.00,"0",0
1527886,1101,0,0,10,409193,0,1,0.5,0,0,0.2,0,0,0,0,45000.00,53820.98,"0",0
1527887,1101,0,0,10,409193,0,1,0.5,0,0,0.2,0,0,0,0,39000.00,40250.98,"0",0
1527929,420,0,0,376,242121,0,1,0.83777,0,0,0.06649,0,0,0,0,419744.20,444173.77,"0",0
1527960,38,0,0,17,866522,0,1,1,0,0,0.35294,3,45,0,0,280000.00,399999.94,"0",0
1528030,1677,0,0,3,284201,0,1,1,0,0,0.33333,0,0,0,0,93600.00,97560.00,"0",0
1528040,140,0,0,97,138548,0,1,0.03093,0,0,0.06186,0,0,0,0,10628.00,10681.41,"108213000",0
